t_s,u_stream_mean,u_stream_rms,u_lat_rms,u_vert_rms
8.15,12,0.636985,0.785999,0.652775
8.16,12,0.656302,0.801077,0.658156
8.17,12,0.653826,0.779428,0.626738
8.18,12,0.671198,0.793478,0.638236
8.19,12,0.663433,0.758411,0.62078
8.2,12,0.674827,0.756591,0.644414
8.21,12,0.666942,0.71837,0.628113
8.22,12,0.678106,0.717105,0.647763
8.23,12,0.673332,0.683173,0.620271
8.24,12,0.686493,0.686623,0.632976
8.25,12,0.677024,0.673966,0.59596
8.26,12,0.686699,0.700474,0.604516
8.27,12,0.677351,0.692234,0.574703
8.28,12,0.68845,0.718348,0.596559
8.29,12,0.682975,0.687745,0.574989
8.3,12,0.697988,0.691716,0.59942
8.31,12,0.692497,0.658699,0.570887
8.32,12,0.7057,0.663721,0.586087
8.33,12,0.704177,0.619526,0.561401
8.34,12,0.721138,0.615236,0.587338
8.35,12,0.717989,0.568172,0.570399
8.36,12,0.73239,0.569871,0.602442
8.37,12,0.725047,0.527235,0.585923
8.38,12,0.73487,0.544391,0.607025
8.39,12,0.722914,0.541344,0.601936
8.4,12,0.728096,0.598039,0.646825
8.41,12,0.71093,0.587856,0.645747
8.42,12,0.711978,0.615028,0.681297
8.43,12,0.694077,0.582008,0.681409
8.44,12,0.695835,0.595111,0.721337
8.45,12,0.678981,0.588987,0.715281
8.46,12,0.681631,0.63612,0.742787
8.47,12,0.669839,0.622462,0.723293
8.48,12,0.680149,0.650822,0.738373
8.49,12,0.676839,0.632013,0.701607
8.5,12,0.695552,0.656795,0.69942
8.51,12,0.689562,0.643305,0.648879
8.52,12,0.702455,0.667607,0.644868
8.53,12,0.690968,0.635579,0.623551
8.54,12,0.698323,0.646205,0.649663
8.55,12,0.687214,0.625169,0.62971
8.56,12,0.697306,0.647439,0.651694
8.57,12,0.68777,0.624712,0.639458
8.58,12,0.697755,0.640932,0.668871
8.59,12,0.693698,0.614687,0.660059
8.6,12,0.710164,0.619825,0.68644
8.61,12,0.711592,0.595309,0.658356
8.62,12,0.733084,0.61293,0.664607
8.63,12,0.729702,0.58359,0.623487
8.64,12,0.743623,0.600397,0.622446
8.65,12,0.735303,0.568739,0.606322
8.66,12,0.743635,0.58219,0.640599
8.67,12,0.739788,0.558153,0.633665
8.68,12,0.754067,0.576512,0.663746
8.69,12,0.752673,0.572206,0.640486
8.7,12,0.768563,0.610966,0.653348
8.71,12,0.76424,0.612863,0.63623
8.72,12,0.7758,0.658056,0.662701
8.73,12,0.767048,0.669843,0.646677
8.74,12,0.775844,0.716321,0.667354
8.75,12,0.76658,0.695265,0.659283
8.76,12,0.774495,0.710721,0.691195
8.77,12,0.760058,0.67163,0.676895
8.78,12,0.762962,0.668428,0.698631
8.79,12,0.744691,0.616819,0.679369
8.8,12,0.74422,0.609296,0.702919
8.81,12,0.728949,0.584036,0.689386
8.82,12,0.731659,0.602914,0.715187
8.83,12,0.720884,0.593756,0.710685
8.84,12,0.730567,0.625955,0.743278
8.85,12,0.72399,0.610301,0.731236
8.86,12,0.739286,0.63671,0.752757
8.87,12,0.740442,0.614133,0.736931
8.88,12,0.761291,0.634999,0.750715
8.89,12,0.759739,0.638466,0.727196
8.9,12,0.774976,0.684786,0.734973
8.91,12,0.770731,0.681777,0.684482
8.92,12,0.783103,0.715032,0.669569
8.93,12,0.775235,0.70272,0.636017
8.94,12,0.783617,0.728203,0.646803
8.95,12,0.76998,0.716031,0.634266
8.96,12,0.771521,0.739646,0.667715
8.97,12,0.754522,0.724621,0.644429
8.98,12,0.754532,0.739707,0.653809
8.99,12,0.738027,0.706304,0.637791
9,12,0.737934,0.712817,0.666539
9.01,12,0.715652,0.710611,0.657478
